"slno","gx","gy","gz","ax","ay","az"
1,2.57251908396947,-2.68702290076336,1.56488549618321,0,0,0.003173828125
2,-28.4274809160305,2,5.51908396946565,0.64306640625,-0.38232421875,0.10888671875
3,-2.85496183206107,-7.19083969465649,-20.7022900763359,-1.993408203125,-0.450439453125,-0.1357421875
4,14.175572519084,-23.206106870229,26.1374045801527,0.29345703125,0.018798828125,0.1708984375
5,-29.7099236641221,17.9541984732824,-16.618320610687,1.24993896484375,-1.99951171875,-0.292724609375
6,-27.3282442748092,-3.57251908396947,11.6259541984733,1.240478515625,0.0830078125,-1.473876953125
7,6.13740458015267,-3.82442748091603,8.84732824427481,0.296875,0.189208984375,0.533203125
8,19.7862595419847,14.4656488549618,17.7862595419847,0.021240234375,-0.931884765625,0.758544921875
9,-55.3664122137405,27.0763358778626,11.0229007633588,2,0.445068359375,1.99993896484375
10,-15.1145038167939,5.41984732824428,19.2977099236641,-0.638427734375,-1.88623046875,-0.27587890625
11,8.26717557251908,6.05343511450382,2.62595419847328,-0.58251953125,-0.994873046875,-0.044677734375
12,-31.0763358778626,-19.5343511450382,0.190839694656489,-0.70751953125,-0.571044921875,0.773681640625
13,41.2671755725191,17.4427480916031,3.36641221374046,-0.415283203125,0.180908203125,0.2119140625
14,-24.7251908396947,-50.2290076335878,-14.9160305343511,-0.533447265625,-0.3173828125,1.600830078125
15,1.83969465648855,-6.29007633587786,-1.29007633587786,0.521728515625,-0.25830078125,0.1708984375
16,6.41984732824428,1.58778625954198,0.137404580152672,0.38720703125,-0.763671875,0.448486328125
17,-18.6641221374046,4.18320610687023,10.0458015267176,1.248779296875,-0.94580078125,-1.484375
18,1.00763358778626,14.8778625954198,45.2977099236641,0.155029296875,-0.00341796875,-1.793212890625
19,54.793893129771,22.4732824427481,-0.091603053435115,-1.98583984375,1.4853515625,-1.615966796875
20,21.2442748091603,4.05343511450382,-17.5496183206107,1.0556640625,0.19384765625,-0.889892578125
21,4.15267175572519,-15.6030534351145,24.8167938931298,-0.972412109375,-0.334228515625,-1.519775390625
22,-2.75572519083969,3.05343511450382,-3.24427480916031,-0.027587890625,-0.527099609375,-1.34619140625
23,20.6335877862595,0.374045801526718,-13,0.0078125,-0.888916015625,-0.051513671875
24,23.8396946564885,8.61068702290076,-20.4274809160305,0.408447265625,-0.154052734375,0.597412109375
25,36.2900763358779,7.08396946564886,-15.6412213740458,-0.998779296875,-0.14599609375,-1.488037109375
26,35.8549618320611,4.47328244274809,25.8320610687023,0.21240234375,-0.2177734375,-0.425537109375
27,-9.89312977099237,6.9618320610687,-15.6946564885496,0.51220703125,-0.263427734375,0.966552734375
28,1.23664122137405,-1.61068702290076,8.46564885496183,0.2001953125,-0.6982421875,0.017333984375
29,0.877862595419847,-5.04580152671756,-34.4198473282443,-0.498046875,2,0.52685546875
30,7.26717557251908,-30.6870229007634,-22.5801526717557,-0.851806640625,-0.425048828125,-0.933837890625
31,-10.4809160305344,37.1908396946565,-15.3893129770992,1.99993896484375,1.38671875,2
32,-66.0992366412214,-22.7786259541985,30.3435114503817,-0.9306640625,-0.48583984375,1.99993896484375
33,-2.70229007633588,-7.00763358778626,-14.9160305343511,-0.311767578125,-1.0419921875,0.0751953125
34,12.8854961832061,21.3587786259542,-6.16793893129771,-0.609130859375,0.596923828125,2
35,-15.175572519084,1.41221374045802,21.7175572519084,0.135498046875,-0.34912109375,-0.080078125
36,-11.0687022900763,-10.6488549618321,19.1603053435115,-0.264404296875,-0.576171875,0.123779296875
37,21.1908396946565,-7.69465648854962,41.6870229007634,-0.084716796875,0.173095703125,-0.03076171875
38,2.18320610687023,-12.7251908396947,13.3893129770992,-0.2880859375,-0.28466796875,-0.1337890625
39,-7.18320610687023,-19.969465648855,10.7709923664122,0.973388671875,-0.1103515625,-0.0498046875
40,-2.34351145038168,0.717557251908397,-2.87022900763359,-0.05126953125,-0.754638671875,0.79248046875
41,-3.3206106870229,27.3053435114504,-88.5801526717557,0.022705078125,-0.453125,-0.064697265625
42,-4.3587786259542,-28.7404580152672,8.89312977099237,-0.8837890625,-0.5322265625,1.10498046875
43,7.06870229007634,20.8320610687023,-14.0381679389313,0.488525390625,-0.046875,-0.29833984375
44,-24.3206106870229,-30.4809160305343,29.5343511450382,-0.367431640625,0.21630859375,0.120849609375
45,-18.8167938931298,20.6259541984733,28.8931297709924,0.010009765625,-0.81201171875,-0.22412109375
46,-22.4427480916031,-9.83969465648855,10.9083969465649,-0.61962890625,-0.2080078125,-0.471923828125
47,-13.4656488549618,-0.641221374045801,-4.20610687022901,-0.398193359375,-0.6484375,0.2763671875
48,-27.5496183206107,5.90839694656489,4.26717557251908,2,2,1.99993896484375
49,-39.587786259542,-44.9083969465649,-33.9465648854962,2,2,-0.45318603515625
50,-3.24427480916031,22.8625954198473,-18.0839694656489,-0.055908203125,2,-1.463134765625
51,-30.8778625954198,-14.2977099236641,9.77099236641221,0.217041015625,-0.590087890625,1.810302734375
52,-7.10687022900763,-3.57251908396947,9.3206106870229,0.171630859375,-1.43896484375,1.322998046875
53,15.4885496183206,13.3358778625954,-26.1221374045801,0.080078125,-1.43994140625,-0.01806640625
54,-25.030534351145,10.3282442748092,-2.9236641221374,0.034423828125,-0.777099609375,0.9716796875
55,28.0381679389313,-23.6793893129771,-7.67175572519084,-0.266357421875,1.99993896484375,1.99993896484375
56,4.18320610687023,6.44274809160305,2.70992366412214,0.108154296875,-0.57861328125,-0.96875
57,22.0534351145038,33.9847328244275,-6.57251908396947,-0.974365234375,2,0.182861328125
58,11.4274809160305,7.79389312977099,-6.9618320610687,-0.235107421875,-0.25537109375,-0.3359375
59,-15.4732824427481,8.6030534351145,-27.4580152671756,2,2,1.99993896484375
