slno	gx	gy	gz	ax	ay	az
1	-2.854961832061069	3.030534351145038	10.923664122137405	-0.952392578125	-0.872802734375	0.153564453125
2	-3.6564885496183206	-11.534351145038167	7.038167938931298	0.1376953125	0.0078125	0.089111328125
3	1.5267175572519085	1.5114503816793894	0.6030534351145038	0.109375	-1.375	-1.18798828125
4	-0.48854961832061067	16.801526717557252	-23.00763358778626	-0.055419921875	-0.68115234375	-0.004150390625
5	-2.7938931297709924	-2.1603053435114505	-48.396946564885496	-0.556640625	-0.134033203125	0.162841796875
6	2.9618320610687023	1.8473282442748091	-0.6641221374045801	-1.38232421875	-1.951416015625	0.3056640625
7	-0.31297709923664124	0.4580152671755725	2.83206106870229	-0.833251953125	0.00048828125	-0.256103515625
8	-3.366412213740458	2.0229007633587788	2.519083969465649	-0.255859375	-0.78564453125	0.63427734375
9	-5.290076335877862	-4.870229007633588	6.351145038167939	-1.28857421875	2.0	0.1396484375
10	0.15267175572519084	4.717557251908397	-7.763358778625954	0.24169921875	-0.096435546875	-0.128662109375
11	-1.099236641221374	-11.557251908396946	-5.549618320610687	-0.15869140625	-0.81103515625	0.286865234375
12	-11.51908396946565	1.6641221374045803	-19.419847328244273	-0.97265625	2.0	0.552978515625
13	-9.541984732824428	-4.076335877862595	13.129770992366412	-0.168701171875	0.18798828125	0.017822265625
14	20.48854961832061	7.5038167938931295	7.931297709923665	0.136474609375	-0.227294921875	0.032958984375
15	-7.824427480916031	2.618320610687023	6.198473282442748	0.570556640625	-0.218017578125	0.93359375
16	-1.1068702290076335	2.366412213740458	-10.01526717557252	-0.035888671875	-0.55615234375	0.147705078125
17	2.7099236641221376	-0.11450381679389313	3.7938931297709924	-0.606689453125	-0.4794921875	-0.312255859375
18	-12.732824427480915	-20.572519083969464	-12.641221374045802	-0.970947265625	-1.902099609375	2.0
19	3.9923664122137406	-4.564885496183206	-4.908396946564886	-0.860107421875	-0.66357421875	-1.31982421875
20	17.19083969465649	-10.389312977099237	-4.580152671755725	0.47314453125	-0.004150390625	0.677490234375
21	1.717557251908397	-0.6106870229007634	0.366412213740458	-0.02783203125	-0.68212890625	0.442138671875
22	2.213740458015267	-4.305343511450381	-0.5877862595419847	-0.65087890625	-1.113525390625	0.373291015625
23	-0.5572519083969466	19.931297709923665	-32.16793893129771	-0.44140625	-0.8671875	-0.28125
24	1.8854961832061068	-4.190839694656488	10.541984732824428	0.00537109375	-0.0537109375	0.046875
25	2.427480916030534	2.236641221374046	1.6564885496183206	-0.58642578125	-0.528564453125	-0.164306640625
26	8.648854961832061	11.938931297709924	-3.8091603053435112	-0.015380859375	-0.82080078125	-1.05859375
27	0.183206106870229	-1.0076335877862594	-0.31297709923664124	-0.63232421875	-0.864501953125	-0.14306640625
28	-2.198473282442748	1.6946564885496183	-2.572519083969466	-0.5830078125	-0.62060546875	0.45458984375
29	-11.946564885496183	4.511450381679389	3.4885496183206106	-1.0166015625	-1.65625	1.126708984375
30	2.6412213740458017	-0.16793893129770993	5.1603053435114505	2.0	-1.51611328125	1.31689453125
31	2.618320610687023	5.137404580152672	8.351145038167939	0.489990234375	-0.634521484375	-0.390869140625
32	-3.8473282442748094	3.068702290076336	-0.7480916030534351	-0.03271484375	-1.16357421875	0.12060546875
33	-11.007633587786259	3.595419847328244	-9.16030534351145	-0.0390625	-1.87353515625	-0.1513671875
34	-9.198473282442748	-10.259541984732824	-6.778625954198473	-1.125	-0.687744140625	0.34375
35	-19.427480916030536	17.091603053435115	-10.51908396946565	-0.20263671875	-1.99560546875	-1.8701171875
36	-7.137404580152672	4.519083969465649	2.1374045801526718	-0.03857421875	-0.854736328125	-0.23193359375
37	1.2290076335877862	14.15267175572519	-4.259541984732825	-1.00244140625	-1.67626953125	-0.19677734375
38	9.145038167938932	8.274809160305344	-0.6183206106870229	0.088623046875	0.228515625	-0.206298828125
39	3.954198473282443	3.8473282442748094	0.17557251908396945	-0.10302734375	-1.497802734375	-0.00048828125
40	11.053435114503817	-6.022900763358779	6.251908396946565	0.660888671875	-1.072509765625	-0.70361328125
41	4.824427480916031	0.29770992366412213	11.969465648854962	-0.85693359375	-0.96875	-0.412841796875
